movie_name,movie_rating,movie_cast
Godzilla,6.4,"Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,Ken Watanabe"
Annabelle Comes Home,,"Vera Farmiga,Patrick Wilson,Mckenna Grace,Madison Iseman"
Twilight,5.2,"Kristen Stewart,Robert Pattinson,Billy Burke,Sarah Clarke"
Tenet,,"Robert Pattinson,Elizabeth Debicki,Aaron Taylor-Johnson,John David Washington"
Anna,,"Sasha Luss,Helen Mirren,Luke Evans,Cillian Murphy"
Mulan,,"Yifei Liu,Donnie Yen,Li Gong,Jet Li"
The Great Gatsby,7.3,"Leonardo DiCaprio,Carey Mulligan,Joel Edgerton,Tobey Maguire"
Terminator Genisys,6.4,"Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney"
Shaft,,"Samuel L. Jackson,Alexandra Shipp,Avan Jogia,Regina Hall"
The Punisher,6.5,"Thomas Jane,John Travolta,Samantha Mathis,Laura Harring"
The Beach Bum,6.2,"Matthew McConaughey,Snoop Dogg,Isla Fisher,Stefania LaVie Owen"
Call Me by Your Name,7.9,"Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,Amira Casar"
Tag,6.6,"Jeremy Renner,Ed Helms,Jake Johnson,Jon Hamm"
Widows,7.0,"Viola Davis,Michelle Rodriguez,Elizabeth Debicki"
Fast & Furious 9,,"Vin Diesel,Michelle Rodriguez,Jordana Brewster,Lucas Black"
The Nun,5.4,"Demián Bichir,Taissa Farmiga,Jonas Bloquet,Bonnie Aarons"
Jurassic Park,8.1,"Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough"
The Karate Kid,7.2,"Ralph Macchio,Pat Morita,Elisabeth Shue,Martin Kove"
Schindler's List,8.9,"Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall"
Action Point,5.0,"Johnny Knoxville,Eleanor Worthington-Cox,Chris Pontius,Dan Bakkedahl"
Back to the Future,8.5,"Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover"
What We Do in the Shadows,7.7,"Jemaine Clement,Taika Waititi,Cori Gonzalez-Macuer,Jonny Brugh"
Fifty Shades of Grey,4.1,"Dakota Johnson,Jamie Dornan,Jennifer Ehle,Eloise Mumford"
Creed II,7.2,"Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad"
Gemini Man,,"Will Smith,Mary Elizabeth Winstead,Clive Owen,Benedict Wong"
Unbreakable,7.3,"Bruce Willis,Samuel L. Jackson,Robin Wright,Spencer Treat Clark"
The Lord of the Rings: The Return of the King,8.9,"Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom"
Trial by Fire,6.2,"Laura Dern,Jack O'Connell,Emily Meade,Jade Pettyjohn"
Troy,7.2,"Brad Pitt,Eric Bana,Orlando Bloom,Julian Glover"
The Cat in the Hat,3.9,"Mike Myers,Spencer Breslin,Dakota Fanning,Alec Baldwin"
On the Basis of Sex,6.8,"Felicity Jones,Armie Hammer,Justin Theroux,Sam Waterston"
The Prestige,8.5,"Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine"
Lucifer,7.7,"Mohanlal,Vivek Oberoi,Manju Warrier,Tovino Thomas"
The Big Lebowski,8.1,"Jeff Bridges,John Goodman,Julianne Moore,Steve Buscemi"
Dune,6.6,"Kyle MacLachlan,Virginia Madsen,Francesca Annis,Leonardo Cimino"
Above Suspicion,,"Emilia Clarke,Thora Birch,Karl Glusman,Jack Huston"
The Equalizer 2,6.7,"Denzel Washington,Pedro Pascal,Ashton Sanders,Orson Bean"
"Three Billboards Outside Ebbing, Missouri",8.2,"Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones"
Game Night,7.0,"Jason Bateman,Rachel McAdams,Kyle Chandler,Sharon Horgan"
Room,8.2,"Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson"
The Princess Bride,8.1,"Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarandon"
Blockers,6.2,"Leslie Mann,John Cena,Ike Barinholtz,Kathryn Newton"
De De Pyaar De,7.2,"Ajay Devgn,Tabu,Rakul Preet Singh,Jimmy Sheirgill"
The Hunger Games,7.2,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Stanley Tucci"
Hotel Mumbai,7.8,"Dev Patel,Armie Hammer,Nazanin Boniadi,Anupam Kher"
Sing,7.1,"Matthew McConaughey,Reese Witherspoon,Seth MacFarlane,Scarlett Johansson"
The Outsiders,7.2,"C. Thomas Howell,Matt Dillon,Ralph Macchio,Patrick Swayze"
Avatar 2,,"Zoe Saldana,Vin Diesel,Oona Chaplin,Jemaine Clement"
Ralph Breaks the Internet,7.1,"John C. Reilly,Sarah Silverman,Gal Gadot,Taraji P. Henson"
The Equalizer,7.2,"Denzel Washington,Marton Csokas,Chloë Grace Moretz,David Harbour"
Man of Steel,7.1,"Henry Cavill,Amy Adams,Michael Shannon,Diane Lane"
The Godfather: Part II,9.0,"Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton"
Apocalypse Now,8.5,"Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest"
The Mummy,7.0,"Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo"
Always Be My Maybe,,"Keanu Reeves,Ali Wong,Miya Cech,Randall Park"
Catch-22,7.2,"Alan Arkin,Martin Balsam,Richard Benjamin,Art Garfunkel"
Mortal Kombat,5.8,"Christopher Lambert,Robin Shou,Linden Ashby,Cary-Hiroyuki Tagawa"
Goodfellas,8.7,"Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco"
Alien,8.5,"Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright"
Rim of the World,5.1,"Jack Gore,Miya Cech,Benjamin Flores Jr.,Alessio Scalzotto"
First Man,7.4,"Ryan Gosling,Claire Foy,Jason Clarke,Kyle Chandler"
Skyfall,7.8,"Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench"
World War Z,7.0,"Brad Pitt,Mireille Enos,Daniella Kertesz,James Badge Dale"
A Violent Separation,5.4,"Alycia Debnam-Carey,Brenton Thwaites,Ted Levine,Claire Holt"
Legally Blonde,6.3,"Reese Witherspoon,Luke Wilson,Selma Blair,Matthew Davis"
Pirates of the Caribbean: Dead Men Tell No Tales,6.6,"Johnny Depp,Geoffrey Rush,Javier Bardem,Orlando Bloom"
The Martian,8.0,"Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara"
Bill & Ted Face the Music,,"Keanu Reeves,Alex Winter"
Sicario: Day of the Soldado,7.1,"Benicio Del Toro,Josh Brolin,Isabela Moner,Jeffrey Donovan"
The Clovehitch Killer,6.5,"Dylan McDermott,Charlie Plummer,Samantha Mathis,Madisen Beaty"
Gladiator,8.5,"Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed"
A Clockwork Orange,8.3,"Malcolm McDowell,Patrick Magee,Michael Bates,Warren Clarke"
Kong: Skull Island,6.6,"Tom Hiddleston,Samuel L. Jackson,Brie Larson,John C. Reilly"
Her Smell,6.2,"Elisabeth Moss,Angel Christian Roman,Cara Delevingne,Dan Stevens"
Movie 43,4.3,"Emma Stone,Stephen Merchant,Richard Gere,Liev Schreiber"
Burning,7.6,"Ah-in Yoo,Steven Yeun,Jong-seo Jun,Soo-Kyung Kim"
The Shape of Water,7.3,"Sally Hawkins,Octavia Spencer,Michael Shannon,Doug Jones"
X-Men,7.4,"Patrick Stewart,Hugh Jackman,Ian McKellen,Famke Janssen"
Never Grow Old,5.7,"John Cusack,Emile Hirsch,Déborah François,Danny Webb"
Signs,6.7,"Mel Gibson,Joaquin Phoenix,Rory Culkin,Abigail Breslin"
The Magnificent Seven,6.9,"Denzel Washington,Chris Pratt,Ethan Hawke,Vincent D'Onofrio"
Top Gun,6.9,"Tom Cruise,Tim Robbins,Kelly McGillis,Val Kilmer"
Hulk,5.6,"Eric Bana,Jennifer Connelly,Sam Elliott,Josh Lucas"
The Departed,8.5,"Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg"
Transformers,7.1,"Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson"
The Tomorrow Man,5.6,"John Lithgow,Blythe Danner,Derek Cecil,Katie Aselton"
Overboard,5.9,"Eugenio Derbez,Anna Faris,Eva Longoria,John Hannah"
Holmes & Watson,3.8,"Will Ferrell,John C. Reilly,Ralph Fiennes,Rebecca Hall"
Pillow Talk,7.5,"Rock Hudson,Doris Day,Tony Randall,Thelma Ritter"
Transformers: The Last Knight,5.2,"Mark Wahlberg,Anthony Hopkins,Josh Duhamel,Laura Haddock"
Shot Caller,7.3,"Nikolaj Coster-Waldau,Omari Hardwick,Lake Bell,Jon Bernthal"
Mother!,6.6,"Jennifer Lawrence,Javier Bardem,Ed Harris,Michelle Pfeiffer"
The Sandlot,7.8,"Tom Guiry,Mike Vitar,Art LaFleur,Patrick Renna"
Oblivion,7.0,"Tom Cruise,Morgan Freeman,Andrea Riseborough,Olga Kurylenko"
Star Wars: Episode IV - A New Hope,8.6,"Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness"
Little Women,,"Florence Pugh,Emma Watson,Saoirse Ronan,Timothée Chalamet"
Pitch Perfect,7.2,"Anna Kendrick,Brittany Snow,Rebel Wilson,Anna Camp"
The Imitation Game,8.0,"Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech"
Django Unchained,8.4,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington"
Ferris Bueller's Day Off,7.8,"Matthew Broderick,Alan Ruck,Mia Sara,Jeffrey Jones"
Kingsman: The Golden Circle,6.8,"Taron Egerton,Colin Firth,Mark Strong,Channing Tatum"
The Crow,7.6,"Brandon Lee,Michael Wincott,Rochelle Davis,Ernie Hudson"
The Parent Trap,6.5,"Lindsay Lohan,Dennis Quaid,Natasha Richardson,Elaine Hendrix"
The Sisters Brothers,7.0,"John C. Reilly,Joaquin Phoenix,Jake Gyllenhaal,Riz Ahmed"
Late Night,5.4,"Emma Thompson,Mindy Kaling,John Lithgow,Hugh Dancy"
The Voyage of Doctor Dolittle,,"Jessie Buckley,Robert Downey Jr.,Tom Holland,Emma Thompson"
Dunkirk,7.9,"Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy"
xXx: Return of Xander Cage,5.2,"Vin Diesel,Donnie Yen,Deepika Padukone,Kris Wu"
Red Joan,6.3,"Judi Dench,Sophie Cookson,Stephen Campbell Moore,Tom Hughes"
Les Misérables,7.6,"Hugh Jackman,Russell Crowe,Anne Hathaway,Amanda Seyfried"
X-Men: First Class,7.7,"James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon"
Despite Everything,5.3,"Blanca Suárez,Macarena García,Amaia Salamanca,Belén Cuesta"
Red Sparrow,6.6,"Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,Charlotte Rampling"
Christopher Robin,7.3,"Ewan McGregor,Hayley Atwell,Bronte Carmichael,Mark Gatiss"
Léon: The Professional,8.6,"Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello"
Scooby-Doo,5.0,"Matthew Lillard,Freddie Prinze Jr.,Sarah Michelle Gellar,Linda Cardellini"
Book Club,6.1,"Diane Keaton,Jane Fonda,Candice Bergen,Mary Steenburgen"
The Eternals,,"Richard Madden,Angelina Jolie,Kumail Nanjiani,Dong-seok Ma"
Green Lantern,5.5,"Ryan Reynolds,Blake Lively,Peter Sarsgaard,Mark Strong"
The Kid Who Would Be King,6.0,"Louis Ashbourne Serkis,Denise Gough,Dean Chaumoo,Tom Taylor"
Her,8.0,"Joaquin Phoenix,Amy Adams,Scarlett Johansson,Rooney Mara"
Untitled Jumanji: Welcome to the Jungle Sequel,,"Karen Gillan,Dwayne Johnson,Awkwafina,Kevin Hart"
Climax,7.2,"Sofia Boutella,Romain Guillermic,Souheila Yacoub,Kiddy Smile"
The Goldfinch,,"Nicole Kidman,Sarah Paulson,Finn Wolfhard,Ansel Elgort"
Austin Powers: The Spy Who Shagged Me,6.6,"Mike Myers,Heather Graham,Michael York,Robert Wagner"
21 Jump Street,7.2,"Jonah Hill,Channing Tatum,Ice Cube,Brie Larson"
Moneyball,7.6,"Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman"
Se7en,8.6,"Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker"
Black Hawk Down,7.7,"Josh Hartnett,Ewan McGregor,Tom Sizemore,Eric Bana"
The Lighthouse,9.5,"Robert Pattinson,Willem Dafoe"
Dumplin',6.7,"Danielle Macdonald,Jennifer Aniston,Odeya Rush,Maddie Baillio"
Beauty and the Beast,7.2,"Emma Watson,Dan Stevens,Luke Evans,Josh Gad"
The Kissing Booth,6.2,"Joey King,Jacob Elordi,Joel Courtney,Megan du Plessis"
Gosford Park,7.3,"Maggie Smith,Ryan Phillippe,Michael Gambon,Kristin Scott Thomas"
Downton Abbey,,"Tuppence Middleton,Michelle Dockery,Allen Leech,Maggie Smith"
Harry Potter and the Deathly Hallows: Part 2,8.1,"Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon"
Mercy,5.6,"Ellen Page,Kate Mara,Amy Seimetz,Elias Koteas"
Just Go with It,6.4,"Adam Sandler,Jennifer Aniston,Brooklyn Decker,Nicole Kidman"
The Breakfast Club,7.9,"Emilio Estevez,Judd Nelson,Molly Ringwald,Ally Sheedy"
No Country for Old Men,8.1,"Tommy Lee Jones,Javier Bardem,Josh Brolin,Woody Harrelson"
Dazed and Confused,7.7,"Jason London,Wiley Wiggins,Matthew McConaughey,Rory Cochrane"
Mary Poppins,7.8,"Julie Andrews,Dick Van Dyke,David Tomlinson,Glynis Johns"
Sixteen Candles,7.1,"Molly Ringwald,Anthony Michael Hall,Justin Henry,Michael Schoeffling"
Batman: Hush,,"Peyton List,Rebecca Romijn,Peyton List,Jennifer Morrison"
Birds of Passage,7.8,"Carmiña Martínez,José Acosta,Natalia Reyes,Jhon Narváez"
Goosebumps 2: Haunted Halloween,5.6,"Wendi McLendon-Covey,Madison Iseman,Jeremy Ray Taylor,Caleel Harris"
Remember the Titans,7.8,"Denzel Washington,Will Patton,Wood Harris,Ryan Hurst"
A Dog's Way Home,6.7,"Ashley Judd,Jonah Hauer-King,Edward James Olmos,Alexandra Shipp"
Tomb Raider,6.3,"Alicia Vikander,Dominic West,Walton Goggins,Daniel Wu"
The Farewell,7.0,"Awkwafina,Tzi Ma,Gil Perez-Abraham,Diana Lin"
Dora and the Lost City of Gold,,"Isabela Moner,Benicio Del Toro,Eva Longoria,Danny Trejo"
Batman Begins,8.2,"Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson"
The Hole in the Ground,5.7,"Seána Kerslake,James Quinn Markey,Kati Outinen,David Crowley"
Wonder Woman 1984,,"Gal Gadot,Pedro Pascal,Chris Pine,Robin Wright"
Little,5.4,"Regina Hall,Issa Rae,Marsai Martin,Justin Hartley"
The Help,8.1,"Emma Stone,Viola Davis,Octavia Spencer,Bryce Dallas Howard"
Coco,8.4,"Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,Alanna Ubach"
Prisoners,8.1,"Hugh Jackman,Jake Gyllenhaal,Viola Davis,Melissa Leo"
Tell It to the Bees,5.3,"Anna Paquin,Gregor Selkirk,Euan Mason,Holliday Grainger"
American Pie,7.0,"Jason Biggs,Chris Klein,Thomas Ian Nicholas,Jennifer Coolidge"
The Sixth Sense,8.1,"Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams"
The Darkest Minds,5.7,"Amandla Stenberg,Mandy Moore,Bradley Whitford,Harris Dickinson"
Welcome to Marwen,6.1,"Steve Carell,Falk Hentschel,Matt O'Leary,Nikolai Witschl"
Border,7.1,"Eva Melander,Eero Milonoff,Jörgen Thorsson,Ann Petrén"
Sherlock Holmes,7.6,"Robert Downey Jr.,Jude Law,Rachel McAdams,Mark Strong"
Sicario,7.6,"Emily Blunt,Josh Brolin,Benicio Del Toro,Jon Bernthal"
Saving Private Ryan,8.6,"Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns"
I Am Mother,6.3,"Rose Byrne,Hilary Swank,Clara Rugaard,Luke Hawker"
Tropic Thunder,7.0,"Ben Stiller,Jack Black,Robert Downey Jr.,Jeff Kahn"
The Fate of the Furious,6.7,"Vin Diesel,Jason Statham,Dwayne Johnson,Michelle Rodriguez"
Stan & Ollie,7.3,"Steve Coogan,John C. Reilly,Shirley Henderson,Nina Arianda"
Ghost in the Shell,6.4,"Scarlett Johansson,Pilou Asbæk,Takeshi Kitano,Juliette Binoche"
The Lost City of Z,6.6,"Charlie Hunnam,Robert Pattinson,Sienna Miller,Tom Holland"
The House That Jack Built,6.9,"Matt Dillon,Bruno Ganz,Uma Thurman,Siobhan Fallon Hogan"
Whiplash,8.5,"Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser"
The Lodge,7.0,"Riley Keough,Alicia Silverstone,Richard Armitage,Jaeden Martell"
Hunter Killer,6.6,"Gerard Butler,Gary Oldman,Common,Linda Cardellini"
The Fanatic,,"John Travolta,Devon Sawa,Ana Golja,Jacob Grodnik"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,"Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn"
American Beauty,8.4,"Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley"
Tully,7.0,"Charlize Theron,Mackenzie Davis,Ron Livingston,Asher Miles Fallica"
The Accountant,7.3,"Ben Affleck,Anna Kendrick,J.K. Simmons,Jon Bernthal"
The Haunting of Sharon Tate,3.0,"Hilary Duff,Jonathan Bennett,Lydia Hearst,Pawel Szajda"
Wonder,8.0,"Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts"
The Witch,6.8,"Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Julian Richings"
The Hangover,7.7,"Zach Galifianakis,Bradley Cooper,Justin Bartha,Ed Helms"
Terminator 2: Judgment Day,8.5,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick"
Shutter Island,8.1,"Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley"
Wind River,7.7,"Kelsey Asbille,Jeremy Renner,Julia Jones,Teo Briones"
American Psycho,7.6,"Christian Bale,Justin Theroux,Josh Lucas,Bill Sage"
Star Wars: Episode VII - The Force Awakens,8.0,"Daisy Ridley,John Boyega,Oscar Isaac,Domhnall Gleeson"
"Yours, Mine and Ours",7.2,"Lucille Ball,Henry Fonda,Van Johnson,Louise Troy"
Good Will Hunting,8.3,"Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgård"
Point Break,7.2,"Patrick Swayze,Keanu Reeves,Gary Busey,Lori Petty"
Dumb and Dumber,7.3,"Jim Carrey,Jeff Daniels,Lauren Holly,Mike Starr"
Bridesmaids,6.8,"Kristen Wiig,Maya Rudolph,Rose Byrne,Terry Crews"
Den of Thieves,7.0,"Gerard Butler,Pablo Schreiber,O'Shea Jackson Jr.,50 Cent"
Grease,7.2,"John Travolta,Olivia Newton-John,Stockard Channing,Jeff Conaway"
Searching,7.7,"John Cho,Debra Messing,Joseph Lee,Michelle La"
Everybody Knows,7.0,"Penélope Cruz,Javier Bardem,Ricardo Darín,Eduard Fernández"
The Conjuring,7.5,"Patrick Wilson,Vera Farmiga,Ron Livingston,Lili Taylor"
Mamma Mia!,6.4,"Meryl Streep,Pierce Brosnan,Amanda Seyfried,Stellan Skarsgård"
Requiem for a Dream,8.3,"Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans"
The Fifth Element,7.7,"Bruce Willis,Milla Jovovich,Gary Oldman,Ian Holm"
Snatch,8.3,"Jason Statham,Brad Pitt,Benicio Del Toro,Dennis Farina"
Ex Machina,7.7,"Alicia Vikander,Domhnall Gleeson,Oscar Isaac,Sonoya Mizuno"
Pain and Glory,7.8,"Penélope Cruz,Antonio Banderas,Leonardo Sbaraglia,Asier Etxeandia"
21 Bridges,,"Taylor Kitsch,Sienna Miller,Chadwick Boseman,J.K. Simmons"
Halloween,6.7,"Jamie Lee Curtis,Judy Greer,Andi Matichak,James Jude Courtney"
Dead Man's Shoes,7.7,"Paddy Considine,Gary Stretch,Toby Kebbell,Stuart Wolfenden"
The Notebook,7.9,"Gena Rowlands,James Garner,Rachel McAdams,Ryan Gosling"
The Handmaiden,8.1,"Min-hee Kim,Jung-woo Ha,Jin-Woong Cho,So-Ri Moon"
Alien: Covenant,6.4,"Michael Fassbender,Katherine Waterston,Billy Crudup,Danny McBride"
Power Rangers,6.0,"Dacre Montgomery,Naomi Scott,RJ Cyler,Ludi Lin"
The Island,6.9,"Scarlett Johansson,Ewan McGregor,Djimon Hounsou,Steve Buscemi"
The Green Mile,8.6,"Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt"
Scarface,8.3,"Al Pacino,Michelle Pfeiffer,Steven Bauer,Mary Elizabeth Mastrantonio"
Speed,7.2,"Keanu Reeves,Dennis Hopper,Sandra Bullock,Joe Morton"
Grown Ups 2,5.4,"Adam Sandler,Kevin James,Chris Rock,David Spade"
Rogue One: A Star Wars Story,7.8,"Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen"
Capernaum,8.5,"Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad"
Upgrade,7.6,"Logan Marshall-Green,Melanie Vallejo,Steve Danielsen,Abby Craden"
Roma,7.8,"Yalitza Aparicio,Marina de Tavira,Diego Cortina Autrey,Carlos Peralta"
Reservoir Dogs,8.3,"Harvey Keitel,Tim Roth,Michael Madsen,Chris Penn"
Guava Island,6.9,"Donald Glover,Rihanna,Letitia Wright,Nonso Anozie"
The Snowman,5.1,"Michael Fassbender,Rebecca Ferguson,Charlotte Gainsbourg,Jonas Karlsson"
A Rainy Day in New York,,"Elle Fanning,Suki Waterhouse,Timothée Chalamet,Kelly Rohrbach"
Gods of Egypt,5.4,"Brenton Thwaites,Nikolaj Coster-Waldau,Gerard Butler,Chadwick Boseman"
Blade Runner,8.2,"Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos"
Lost in Translation,7.8,"Bill Murray,Scarlett Johansson,Giovanni Ribisi,Anna Faris"
The Revenant,8.0,"Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson"
The Suicide Squad,,"Margot Robbie,Joel Kinnaman,Idris Elba,Jai Courtney"
Brokeback Mountain,7.7,"Jake Gyllenhaal,Heath Ledger,Michelle Williams,Randy Quaid"
Casper,6.1,"Bill Pullman,Christina Ricci,Cathy Moriarty,Eric Idle"
The Wife,7.2,"Glenn Close,Jonathan Pryce,Max Irons,Christian Slater"
Road House,6.6,"Patrick Swayze,Kelly Lynch,Sam Elliott,Ben Gazzara"
Spectre,6.8,"Daniel Craig,Christoph Waltz,Léa Seydoux,Ralph Fiennes"
The Man Who Knew Too Much,7.5,"James Stewart,Doris Day,Brenda de Banzie,Bernard Miles"
Top Gun: Maverick,,"Tom Cruise,Jennifer Connelly,Jon Hamm,Val Kilmer"
Lady Bird,7.4,"Saoirse Ronan,Laurie Metcalf,Tracy Letts,Lucas Hedges"
The Grand Budapest Hotel,8.1,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody"
Photograph,6.9,"Nawazuddin Siddiqui,Sanya Malhotra,Sachin Khedekar,Denzil Smith"
To All the Boys I've Loved Before,7.3,"Lana Condor,Noah Centineo,Janel Parrish,Anna Cathcart"
Hacksaw Ridge,8.1,"Andrew Garfield,Sam Worthington,Luke Bracey,Teresa Palmer"
Scoob,,"Zac Efron,Mark Wahlberg,Gina Rodriguez,Amanda Seyfried"
Harry Potter and the Goblet of Fire,7.7,"Daniel Radcliffe,Emma Watson,Rupert Grint,Eric Sykes"
Edge of Tomorrow,7.9,"Tom Cruise,Emily Blunt,Bill Paxton,Brendan Gleeson"
Death House,3.1,"Bill Moseley,Tony Todd,Nicole Cinaglia,Adrienne Barbeau"
Jurassic World,7.0,"Chris Pratt,Bryce Dallas Howard,Ty Simpkins,Judy Greer"
Student of the Year,5.4,"Alia Bhatt,Sidharth Malhotra,Varun Dhawan,Rishi Kapoor"
Star Trek,8.0,"Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy"
